huc12,80s vs 90s,90s vs 00s,00s vs 10s,10s vs 20s
150100010508,0.0,0.0,,
150100010607,,,,
150100010608,,,,
150100020101,,,,0.0
150100020405,0.0,,,
150100020908,,0.0,0.0,0.0
150100020909,,0.0,0.0,0.0
150100100208,-1.0,0.0,0.0,0.0
150100100602,-1.0,0.0,0.0,0.0
150200010403,,,205.33333333333331,
150200020103,0.0,162.3,133.5,-29.600000000000023
150200020709,1.7,30.500000000000004,-1.7000000000000028,7.5
150200080206,,,31.614285714285714,-53.9
150200080510,,,53.39999999999998,3.5
150200080611,,,0.0,0.0
150200100110,,27.200000000000045,-20.30000000000001,4.699999999999989
150200130402,,32.166666666666664,6.100000000000001,80.4
150200140204,,25.142857142857167,,
150301040305,3.444444444444443,,,
150301040306,3.444444444444443,,,
150301070105,,,0.0,0.0
150302040202,0.75,-0.45,-0.3,0.0
150302040409,-105.33333333333334,15.333333333333343,82.30000000000001,-135.70000000000002
150400050909,-17.166666666666668,22.7,-17.4,12.5
150400050910,-17.166666666666668,22.7,-17.4,12.5
150400060808,,,,
150501000111,0.0,31.0,,
150501000207,0.0,6.5,-0.5,6.4
150501000208,0.0,6.5,-0.5,6.4
150501000711,,,,
150502020507,,-22.414285714285725,77.0,144.89999999999998
150503010908,15.333333333333329,-11.63333333333333,55.8,-62.1
150503040405,,136.4142857142857,91.40000000000003,9.5
150601010308,0.0,0.0,0.0,0.0
150601020301,0.0,0.0,0.0,0.0
150601030108,0.0,0.0,0.0,0.0
150601030904,0.0,0.0,0.0,0.0
150601040105,,,,
150601050311,4.550000000000001,54.05,-9.300000000000004,37.8
150601060306,,,,
150602020108,0.0,0.0,0.0,0.0
150602020607,0.0,0.0,0.0,0.0
150602030405,52.0,50.3,-10.5,35.8
150602030408,,,0.0,0.0
150602030409,,,0.0,0.0
150701020206,,,1.5,-7.6
150701020605,43.0,,,
150701020607,43.0,,,
150701020808,,,,
150701030311,,170.0,84.9,-77.10000000000002
150701030507,,1.6999999999999997,18.1,-17.4
150702010803,,23.19999999999999,32.10000000000002,1.5
150702011502,0.1,3.6999999999999997,-3.5999999999999996,-0.2
150803010412,,,9.625,13.600000000000023
