,huc12,1980,1990,2000,2010,2020
0,150100010508,0.0,0.0,0.0,,
1,150100010607,,0.0,,,
2,150100010608,,0.0,,,
3,150100020101,,,,0.0,0.0
4,150100020405,0.0,0.0,,,
5,150100020908,,0.0,0.0,0.0,0.0
6,150100020909,,0.0,0.0,0.0,0.0
7,150100100208,1.0,0.0,0.0,0.0,0.0
8,150100100602,1.0,0.0,0.0,0.0,0.0
9,150200010403,,,83.0,288.3333333333333,
10,150200020103,0.0,0.0,162.3,295.8,266.2
11,150200020709,0.0,1.7,32.2,30.5,38.0
12,150200080206,,,22.285714285714285,53.9,0.0
13,150200080510,,,272.5,325.9,329.4
14,150200080611,,,0.0,0.0,0.0
15,150200100110,,257.4,284.6,264.3,269.0
16,150200130402,,0.3333333333333333,32.5,38.6,119.0
17,150200140204,,283.85714285714283,309.0,,
18,150301040305,32.833333333333336,36.27777777777778,,,
19,150301040306,32.833333333333336,36.27777777777778,,,
20,150301070105,,,0.0,0.0,0.0
21,150302040202,0.0,0.75,0.3,0.0,0.0
22,150302040409,151.0,45.666666666666664,61.0,143.3,7.6
23,150400050909,17.166666666666668,0.0,22.7,5.3,17.8
24,150400050910,17.166666666666668,0.0,22.7,5.3,17.8
25,150400060808,,,,,240.0
26,150501000111,0.0,0.0,31.0,,
27,150501000207,0.0,0.0,6.5,6.0,12.4
28,150501000208,0.0,0.0,6.5,6.0,12.4
29,150501000711,,,286.6666666666667,,
30,150502020507,,58.714285714285715,36.3,113.3,258.2
31,150503010908,3.0,18.333333333333332,6.7,62.5,0.4
32,150503040405,,109.28571428571429,245.7,337.1,346.6
33,150601010308,0.0,0.0,0.0,0.0,0.0
34,150601020301,0.0,0.0,0.0,0.0,0.0
35,150601030108,0.0,0.0,0.0,0.0,0.0
36,150601030904,0.0,0.0,0.0,0.0,0.0
37,150601040105,,,73.0,,
38,150601050311,4.5,9.05,63.1,53.8,91.6
39,150601060306,,,175.0,,
40,150602020108,0.0,0.0,0.0,0.0,0.0
41,150602020607,0.0,0.0,0.0,0.0,0.0
42,150602030405,14.0,66.0,116.3,105.8,141.6
43,150602030408,,,0.0,0.0,0.0
44,150602030409,,,0.0,0.0,0.0
45,150701020206,,,6.1,7.6,0.0
46,150701020605,18.0,61.0,,,
47,150701020607,18.0,61.0,,,
48,150701020808,,175.25,,,
49,150701030311,,57.4,227.4,312.3,235.2
50,150701030507,,2.4,4.1,22.2,4.8
51,150702010803,,290.0,313.2,345.3,346.8
52,150702011502,0.0,0.1,3.8,0.2,0.0
53,150803010412,,,271.375,281.0,294.6
