,Decade,huc4_wb,DTW_Category,Well Count
0,1980,1501,Deep (10-61m),108
1,1980,1501,Near Surface (<2m),116
2,1980,1501,Shallow (5-10m),37
3,1980,1501,Very Shallow (2-5m),29
4,1980,1502,Deep (10-61m),403
5,1980,1502,Near Surface (<2m),124
6,1980,1502,Shallow (5-10m),190
7,1980,1502,Very Shallow (2-5m),122
8,1980,1503,Deep (10-61m),1019
9,1980,1503,Near Surface (<2m),216
10,1980,1503,Shallow (5-10m),377
11,1980,1503,Very Shallow (2-5m),555
12,1980,1504,Deep (10-61m),631
13,1980,1504,Near Surface (<2m),62
14,1980,1504,Shallow (5-10m),302
15,1980,1504,Very Shallow (2-5m),200
16,1980,1505,Deep (10-61m),1403
17,1980,1505,Near Surface (<2m),412
18,1980,1505,Shallow (5-10m),454
19,1980,1505,Very Shallow (2-5m),236
20,1980,1506,Deep (10-61m),1762
21,1980,1506,Near Surface (<2m),444
22,1980,1506,Shallow (5-10m),959
23,1980,1506,Very Shallow (2-5m),506
24,1980,1507,Deep (10-61m),1048
25,1980,1507,Near Surface (<2m),344
26,1980,1507,Shallow (5-10m),331
27,1980,1507,Very Shallow (2-5m),277
28,1980,1508,Deep (10-61m),135
29,1980,1508,Near Surface (<2m),22
30,1980,1508,Shallow (5-10m),15
31,1980,1508,Very Shallow (2-5m),19
32,1990,1501,Deep (10-61m),125
33,1990,1501,Near Surface (<2m),27
34,1990,1501,Shallow (5-10m),44
35,1990,1501,Very Shallow (2-5m),38
36,1990,1502,Deep (10-61m),380
37,1990,1502,Near Surface (<2m),189
38,1990,1502,Shallow (5-10m),297
39,1990,1502,Very Shallow (2-5m),266
40,1990,1503,Deep (10-61m),1463
41,1990,1503,Near Surface (<2m),339
42,1990,1503,Shallow (5-10m),408
43,1990,1503,Very Shallow (2-5m),686
44,1990,1504,Deep (10-61m),456
45,1990,1504,Near Surface (<2m),44
46,1990,1504,Shallow (5-10m),175
47,1990,1504,Very Shallow (2-5m),87
48,1990,1505,Deep (10-61m),2487
49,1990,1505,Near Surface (<2m),556
50,1990,1505,Shallow (5-10m),656
51,1990,1505,Very Shallow (2-5m),452
52,1990,1506,Deep (10-61m),3408
53,1990,1506,Near Surface (<2m),621
54,1990,1506,Shallow (5-10m),1007
55,1990,1506,Very Shallow (2-5m),546
56,1990,1507,Deep (10-61m),1406
57,1990,1507,Near Surface (<2m),375
58,1990,1507,Shallow (5-10m),383
59,1990,1507,Very Shallow (2-5m),367
60,1990,1508,Deep (10-61m),323
61,1990,1508,Near Surface (<2m),36
62,1990,1508,Shallow (5-10m),45
63,1990,1508,Very Shallow (2-5m),48
64,2000,1501,Deep (10-61m),63
65,2000,1501,Near Surface (<2m),10
66,2000,1501,Shallow (5-10m),46
67,2000,1501,Very Shallow (2-5m),23
68,2000,1502,Deep (10-61m),432
69,2000,1502,Near Surface (<2m),64
70,2000,1502,Shallow (5-10m),300
71,2000,1502,Very Shallow (2-5m),432
72,2000,1503,Deep (10-61m),1188
73,2000,1503,Near Surface (<2m),74
74,2000,1503,Shallow (5-10m),256
75,2000,1503,Very Shallow (2-5m),547
76,2000,1504,Deep (10-61m),513
77,2000,1504,Near Surface (<2m),7
78,2000,1504,Shallow (5-10m),197
79,2000,1504,Very Shallow (2-5m),58
80,2000,1505,Deep (10-61m),1994
81,2000,1505,Near Surface (<2m),78
82,2000,1505,Shallow (5-10m),471
83,2000,1505,Very Shallow (2-5m),289
84,2000,1506,Deep (10-61m),2013
85,2000,1506,Near Surface (<2m),129
86,2000,1506,Shallow (5-10m),552
87,2000,1506,Very Shallow (2-5m),263
88,2000,1507,Deep (10-61m),1244
89,2000,1507,Near Surface (<2m),57
90,2000,1507,Shallow (5-10m),355
91,2000,1507,Very Shallow (2-5m),302
92,2000,1508,Deep (10-61m),181
93,2000,1508,Near Surface (<2m),8
94,2000,1508,Shallow (5-10m),27
95,2000,1508,Very Shallow (2-5m),13
96,2010,1501,Deep (10-61m),35
97,2010,1501,Near Surface (<2m),39
98,2010,1501,Shallow (5-10m),12
99,2010,1501,Very Shallow (2-5m),6
100,2010,1502,Deep (10-61m),117
101,2010,1502,Near Surface (<2m),21
102,2010,1502,Shallow (5-10m),46
103,2010,1502,Very Shallow (2-5m),45
104,2010,1503,Deep (10-61m),486
105,2010,1503,Near Surface (<2m),35
106,2010,1503,Shallow (5-10m),108
107,2010,1503,Very Shallow (2-5m),167
108,2010,1504,Deep (10-61m),261
109,2010,1504,Near Surface (<2m),3
110,2010,1504,Shallow (5-10m),42
111,2010,1504,Very Shallow (2-5m),18
112,2010,1505,Deep (10-61m),1088
113,2010,1505,Near Surface (<2m),50
114,2010,1505,Shallow (5-10m),234
115,2010,1505,Very Shallow (2-5m),135
116,2010,1506,Deep (10-61m),781
117,2010,1506,Near Surface (<2m),45
118,2010,1506,Shallow (5-10m),225
119,2010,1506,Very Shallow (2-5m),95
120,2010,1507,Deep (10-61m),611
121,2010,1507,Near Surface (<2m),24
122,2010,1507,Shallow (5-10m),146
123,2010,1507,Very Shallow (2-5m),83
124,2010,1508,Deep (10-61m),90
125,2010,1508,Near Surface (<2m),6
126,2010,1508,Shallow (5-10m),29
127,2010,1508,Very Shallow (2-5m),14
128,2020,1501,Deep (10-61m),8
129,2020,1501,Near Surface (<2m),6
130,2020,1501,Shallow (5-10m),6
131,2020,1501,Very Shallow (2-5m),2
132,2020,1502,Deep (10-61m),67
133,2020,1502,Near Surface (<2m),15
134,2020,1502,Shallow (5-10m),48
135,2020,1502,Very Shallow (2-5m),38
136,2020,1503,Deep (10-61m),194
137,2020,1503,Near Surface (<2m),3
138,2020,1503,Shallow (5-10m),42
139,2020,1503,Very Shallow (2-5m),70
140,2020,1504,Deep (10-61m),119
141,2020,1504,Near Surface (<2m),1
142,2020,1504,Shallow (5-10m),20
143,2020,1504,Very Shallow (2-5m),3
144,2020,1505,Deep (10-61m),306
145,2020,1505,Near Surface (<2m),8
146,2020,1505,Shallow (5-10m),125
147,2020,1505,Very Shallow (2-5m),74
148,2020,1506,Deep (10-61m),295
149,2020,1506,Near Surface (<2m),30
150,2020,1506,Shallow (5-10m),98
151,2020,1506,Very Shallow (2-5m),65
152,2020,1507,Deep (10-61m),197
153,2020,1507,Near Surface (<2m),12
154,2020,1507,Shallow (5-10m),60
155,2020,1507,Very Shallow (2-5m),48
156,2020,1508,Deep (10-61m),42
157,2020,1508,Near Surface (<2m),4
158,2020,1508,Shallow (5-10m),13
159,2020,1508,Very Shallow (2-5m),7
