5_yr,1407000605,1407000609,1407000611,1407000707,1501000103,1501000302,1501000303,1501000305,1501000306,1501000308,1501000405,1501000406,1501000501,1501000602,1501000701,1501000702,1501000703,1501000704,1501000903,1501001002,1501001003,1501001006,1501001401,1502000101,1502000102,1502000103,1502000104,1502000201,1502000202,1502000203,1502000204,1502000206,1502000207,1502000309,1502000408,1502000409,1502000501,1502000502,1502000503,1502000504,1502000607,1502000702,1502000705,1502000706,1502000801,1502000802,1502000804,1502000805,1502000806,1502000807,1502000903,1502001001,1502001003,1502001106,1502001501,1502001502,1502001606,1503010102,1503010103,1503010104,1503010107,1503010301,1503010302,1503010303,1503010304,1503010305,1503010401,1503010403,1503010404,1503010406,1503010408,1503010411,1503010412,1503010413,1503010501,1503010502,1503010503,1503010504,1503010505,1503010601,1503010602,1503010701,1503010702,1503010803,1503020102,1503020103,1503020104,1503020105,1503020106,1503020107,1503020203,1503020204,1503020301,1503020303,1503020304,1503020305,1503020401,1503020402,1503020403,1503020404,1504000207,1504000208,1504000403,1504000405,1504000409,1504000501,1504000502,1504000503,1504000505,1504000506,1504000507,1504000508,1504000509,1504000601,1504000602,1504000603,1504000604,1504000606,1504000607,1504000608,1504000703,1505010001,1505010002,1505010003,1505010004,1505010005,1505010006,1505010007,1505010008,1505010010,1505010011,1505020101,1505020102,1505020104,1505020105,1505020106,1505020107,1505020203,1505020204,1505020205,1505020206,1505020207,1505020208,1505020209,1505020210,1505020211,1505020301,1505020302,1505020303,1505020304,1505020305,1505020306,1505020307,1505020308,1505020309,1505030101,1505030102,1505030103,1505030104,1505030105,1505030106,1505030107,1505030108,1505030109,1505030201,1505030202,1505030203,1505030301,1505030302,1505030303,1505030305,1505030306,1505030401,1505030402,1505030403,1505030404,1505030405,1505030406,1505030503,1506010101,1506010303,1506010304,1506010306,1506010307,1506010308,1506010309,1506010402,1506010501,1506010502,1506010503,1506010504,1506010505,1506010601,1506010602,1506010603,1506020103,1506020105,1506020106,1506020107,1506020108,1506020201,1506020202,1506020203,1506020204,1506020205,1506020206,1506020207,1506020301,1506020302,1506020303,1506020304,1506020305,1506020306,1506020307,1507010101,1507010102,1507010103,1507010104,1507010105,1507010106,1507010107,1507010201,1507010202,1507010203,1507010204,1507010205,1507010206,1507010207,1507010208,1507010209,1507010301,1507010302,1507010303,1507010304,1507010305,1507010402,1507010403,1507010404,1507010405,1507010406,1507010407,1507020101,1507020102,1507020103,1507020104,1507020105,1507020106,1507020107,1507020108,1507020110,1507020111,1507020112,1507020113,1507020114,1507020115,1507020202,1507020204,1507020302,1507020303,1507020304,1507020307,1508010203,1508020017,1508030101,1508030102,1508030103,1508030104,1508030110,1508030201,1508030202,1508030204
1980,,,,,,,,,37.5,,3.0,,,,17.4125,75.05,20.1,,10.5,54.2,54.55,17.5,,20.0,23.0,30.0,15.0,,80.0,,,143.0,,0.0,,,46.7,80.0,115.0,112.5,,30.0,,34.76,,99.5,42.5,12.5,30.5,33.75,,,,12.5,91.0,8.0,88.57,40.0,85.0,24.25,48.5,58.0,30.0,,,47.0,19.0,,8.0,,,23.0,100.0,25.0,,,121.05,121.05,75.85,134.0,40.5,8.5,,9.0,,11.0,12.870000000000001,39.875,43.26,65.0,,,41.6,102.0,8.04,86.85,,30.4,,24.0,47.5,68.5,31.0,32.5,,40.0,23.25,46.0,25.0,37.5,34.25,46.53999999999999,35.052499999999995,,51.0,68.0,60.5,87.5,,30.0,41.5,27.5,32.5,18.025,44.5,37.0,0.0,32.8,102.0,158.0,,,,50.0,57.5,62.5,45.0,,33.0,40.0,36.0,87.25,70.0,37.525000000000006,42.0,44.0,,41.5,55.1,,24.0,,56.4,27.725,26.0,15.0,42.7,19.33,46.0,20.0,47.0,88.05000000000001,63.65,122.975,86.25,64.0,44.45,0.0,31.9,,,19.549999999999997,56.5,,32.120000000000005,40.0,,,,,,27.0,29.75,23.0,13.0,17.0,,,40.0,30.6575,14.0,,,9.0,19.45,,,,57.75,83.05,50.7,,50.0,,50.5,27.5,33.94,17.5,30.86,23.159999999999997,,20.4,,18.049999999999997,50.0,38.75,,,57.0,57.0,,0.0,50.0,65.0,30.0,37.5,19.85,43.5,35.0,58.6,18.25,30.0,21.924999999999997,,27.9,95.0,,96.15,0.0,44.8425,20.0,,58.2,,12.5,45.0,,,25.5,15.0,13.5,,15.0,,11.5,,,,,,,72.9,,110.0,44.0,55.0,51.7,,29.7,,
1985,,,,,,,30.0,,66.0,0.0,,,,0.0,45.8,65.05,41.075,,,59.0,55.45,30.5,0.0,23.75,15.0,,92.5,25.0,0.0,150.0,81.0,136.2,,,,20.0,24.0,120.0,,98.0,15.5,60.0,,34.0,,,0.0,50.0,21.5,,,0.0,,,75.0,,88.75,45.0,70.0,15.0,28.0,5.95,128.0,,,,11.0,11.0,,,,,,37.5,45.1,34.7,84.3,115.2,80.5,132.0,31.25,17.75,12.0,8.0,19.7,58.55,16.25,30.0,46.95,20.0,,,40.0,60.0,0.0,86.3,0.0,24.224999999999998,8.5,20.085,38.0,31.955,22.5,40.0,53.0,,45.0,,18.4,40.0,29.5,55.0,41.675,15.5,62.0,90.0,59.85,96.9,134.6,32.8,,18.25,,20.5,9.85,30.0,,20.5,60.0,51.3,13.0,,,65.0,37.5,71.5,37.0,11.55,35.35,55.0,70.0,20.0,40.5,24.7,84.5,45.0,40.0,40.0,41.85,,43.65,,45.2,28.95,,7.7,21.875,17.8,43.9,26.0,30.15,0.0,61.15,91.8,80.0,54.8,59.595,,25.2,0.0,,19.65,60.0,,18.0,30.0,0.0,,,,,25.0,29.0,78.0,,24.0,,66.0,76.5,26.775,12.5,,,22.0,30.0,,,,50.295,83.625,39.22,,45.0,,69.0,34.5,31.5,24.0,25.0,27.0,,27.2,0.0,21.1,40.0,33.0,,7.5,,,,50.0,60.0,0.0,55.0,22.0,57.5,0.0,40.0,42.0,20.0,80.0,80.0,84.9,74.75,,0.0,,33.8,0.0,30.0,,59.8,,33.0,0.0,,,23.5,,12.0,,13.0,,20.5,25.0,20.25,,,,,78.775,,0.0,32.5,16.85,48.5,,29.9,,
1990,16.0,8.0,,,0.0,,,12.0,0.0,,14.0,0.0,,,50.0,81.4,50.0,65.0,45.0,60.0,57.8,22.0,,26.0,14.75,,4.5,5.5,,,44.0,,,0.0,,,56.525,48.0,,54.0,,64.75,62.5,28.85,,143.1,103.0,,6.0,21.0,8.5,,100.0,,70.39999999999999,35.0,89.125,92.5,65.0,17.5,33.5,69.25,66.425,92.0,92.0,34.6,9.0,0.0,,,10.0,10.0,,30.0,49.8,69.6,85.2,99.5,88.4,122.80000000000001,40.25,16.0,15.35,9.0,,,,95.5,42.47,56.0,36.5,25.0,57.5,8.0,,47.699999999999996,,26.4,27.75,17.4,38.0,34.1,30.0,63.0,161.0,,,125.0,,35.0,37.6,38.85,36.4,,60.0,96.8,65.0,97.3,,,,34.625,16.81,15.2,13.6,0.0,,15.2,100.0,80.95,0.0,24.749999999999996,19.15,48.75,17.95,57.25,60.075,,37.0,42.76,61.0,56.7,18.0,34.0,46.0,42.7,32.425,48.6,58.8,30.51,25.9,13.3,26.6,32.475,19.0,7.2,36.22,16.0,42.1,29.0,34.5,0.0,74.98249999999999,98.975,70.0,35.25,41.155,0.0,35.25,85.0,75.0,48.3,64.5,,19.5,,0.0,,,94.0,,24.0,18.5,54.0,,0.0,,,45.0,31.5,17.25,21.0,0.0,18.25,47.0,,75.3,57.2,38.275000000000006,83.6,49.45,,45.0,,40.0,56.5,38.875,17.0,24.725,22.5,,,16.75,27.0,42.2,41.275,,10.0,,,26.5,27.0,55.55,17.5,52.5,38.75,35.775,44.0,24.0,49.0,25.0,96.0,92.0,48.295,38.099999999999994,19.0,,91.0,55.150000000000006,161.5,64.5,67.5,36.675,,16.2,34.0,5.3,5.7,31.25,32.6,17.6,,16.075,6.0,13.0,,29.05,72.2,,31.57,11.6,91.635,6.3,105.05,59.099999999999994,60.150000000000006,49.5,106.5,29.0,41.550000000000004,7.52
1995,,,24.0,24.0,24.0,,,,22.0,,132.0,,6.1,,42.75,134.0,43.175,39.25,26.0,50.0,59.5,43.0,,35.0,21.5,20.0,11.5,26.5,25.0,,81.5,,49.0,90.0,,,57.5,61.0,70.5,52.5,,,,38.505,0.0,11.0,115.0,83.0,19.0,23.0,15.0,,,,74.75,,89.1,25.0,76.5,20.0,15.0,138.0,102.05,100.25,98.0,100.0,8.5,75.0,,52.0,,17.0,,5.0,,68.3,91.525,116.7,79.5,129.35,45.0,14.0,8.0,7.5,26.4,80.0,27.84,61.8,52.1,30.0,81.0,10.0,64.5,9.0,70.0,85.4,,25.85,80.0,29.5,29.0,63.0,42.5,,15.0,,,,24.0,44.5,30.0,63.0,65.15,69.2,70.025,99.125,60.0,99.45,131.8,54.0,60.0,40.0,17.6,19.75,10.645,28.5,,22.2,147.25,56.0,13.0,24.5,24.5,76.9,65.0,70.0,65.0,,34.3,59.5,48.5,66.42500000000001,38.0,54.8,,36.5,126.0,50.0,65.0,27.2,6.05,,33.3,31.25,18.025,6.74,23.15,19.549999999999997,40.2,20.799999999999997,25.705,30.0,68.88,95.87,40.0,47.85,48.855000000000004,132.0,27.5,69.0,,50.6,58.0,63.4,13.9,80.7,60.0,35.0,18.5,,0.0,57.5,30.0,31.5,,,,60.0,61.25,33.715,15.0,16.0,11.0,18.75,51.0,,75.1,81.41499999999999,31.0,27.8,28.5,,37.5,,70.0,80.0,30.5,22.0,29.955,27.5,,,15.0,42.3,46.849999999999994,77.0,,,,,32.0,65.0,59.599999999999994,30.0,60.0,25.0,73.5,,47.5,57.5,18.0,1.0,36.625,,82.5,0.0,,119.5,32.6,90.0,85.0,25.3,32.25,,18.95,47.5,,,40.65,,14.0,,8.0,147.0,21.0,,,,,,,105.75,,30.0,94.325,45.0,50.0,79.1,29.3,,
2000,,,,,,10.0,,21.5,,,,,,,,,,,22.0,60.0,44.0,44.0,,30.0,30.0,,4.5,40.0,,,30.5,48.0,,,,,49.5,40.0,43.5,81.75,,,,7.0,,12.0,125.0,103.75,12.0,11.0,,,,87.5,85.8,,91.5,18.0,38.5,18.0,50.0,,71.5,106.0,98.25,110.0,47.0,75.0,,,,12.0,,5.5,48.2,,84.25,100.65,71.0,137.1,46.0,13.0,14.165,10.0,,80.0,,64.25,50.0,47.5,,,39.75,,68.875,106.0,,,,61.599999999999994,28.0,32.195,50.0,12.0,21.5,,99.0,,37.0,48.0,44.0,57.0,50.019999999999996,,58.0,103.0,71.345,103.0,64.0,37.0,,54.955,22.7,,11.7,80.0,,109.55000000000001,80.0,,30.0,,,80.0,85.0,50.0,50.0,,31.7,70.0,63.165,66.87,47.3,52.975,38.7625,38.095,47.15,49.43,41.8,55.0,6.15,,55.0,32.515,25.72,6.275,17.85,18.7,44.55,18.0,44.55,89.0,100.2,107.35,77.0,57.82,70.17,145.15,39.0,,,60.0,85.0,,,150.7,138.8,126.0,,20.0,,20.0,49.5,,42.5,,10.0,14.0,95.0,39.4,20.0,,,31.25,49.65,85.0,,,74.9,86.6,36.8125,,52.9,,91.25,32.0,30.0,50.0,44.0,36.5,50.0,24.39,43.0,38.7,54.575,65.0,81.0,53.5,81.5,81.5,,42.0,49.5,31.25,34.0,15.5,39.195,33.9225,76.25,62.0,24.0,27.925,29.099999999999998,107.65,84.75,30.0,,,25.2,100.0,92.5,,50.2,,,,15.0,15.0,14.75,67.0,12.5,,51.75,15.0,14.0,,,,,,,110.58,,,78.6,43.55,52.5,119.85000000000001,30.4,,
2005,,,5.0,,,,,,,,,,,,,,,,31.5,20.0,31.0,21.0,,26.0,31.0,,31.0,61.5,,,,,,,101.0,,103.15,40.0,133.5,108.5,,,,,,15.0,,9.0,15.0,4.0,,,,,63.1,42.0,93.1,,73.25,18.5,72.0,,51.5,100.0,97.5,95.0,9.5,,,,,7.0,,8.0,,,86.25,101.775,69.0,137.65,,14.0,18.09,10.0,,,35.4,25.0,25.175,20.0,,,38.019999999999996,,105.3,87.3,,,7.1,58.05,62.5,40.0,20.0,10.0,,,17.0,,53.5,59.5,41.7,41.2,35.370000000000005,59.825,25.0,107.66499999999999,78.0,107.26,132.10000000000002,,,52.0,23.4,,17.475,,,112.1,,,,51.55,52.3,42.4,53.8,71.0,72.67500000000001,,16.5,32.2,76.25,67.74000000000001,114.80000000000001,58.85,38.265,56.85,47.725,55.385000000000005,73.9,,11.89,16.75,54.5,30.4,22.8,17.0,27.1,23.009999999999998,35.45,24.8,70.45,58.5,103.42,104.095,95.5,48.82,56.82,,50.525000000000006,120.0,,46.65,94.6,,,150.15,142.14,,,,,49.5,37.5,,,23.0,,39.35,19.5,32.95,18.299999999999997,,,,80.6,88.7,70.0,78.375,91.3,73.57499999999999,38.3,,53.3,,43.5,48.6,55.725,60.4,32.650000000000006,29.0,,,6.0,,32.0,25.1,46.5,82.0,82.0,82.0,,38.0,53.775,,17.32,,69.9,,,51.75,,,75.0,,50.5,177.0,,177.0,27.0,,,,,30.0,30.0,,,,40.0,66.0,12.0,158.0,11.4,24.0,12.7,,,,,,50.0,115.32,,,,44.0,51.0,,30.2,68.6,9.1
2010,,,,,,,,,,,,,,,,,,,43.5,11.0,11.0,2.0,,30.0,56.0,,,,,,65.0,,,81.0,,,30.07,,,,,,,29.61,,15.0,,,28.5,,,,,,98.25,,91.9,,100.0,12.0,64.0,,,,,,9.0,,,30.0,,8.0,,,,,93.2,105.375,63.0,138.6,,,24.92,7.0,,,,,,,,,40.894999999999996,,111.1,94.8,,,,58.905,58.0,39.5,19.0,,,,,,,55.0,38.0,40.55,48.45,162.0,,111.42,79.6,111.25,55.9,,,57.75,27.1,,15.0,,,,,145.4,,,,93.4,,59.45,121.3,90.0,,,121.9,121.9,,59.724999999999994,,60.14999999999999,45.0,45.0,82.75,69.5,21.35,,59.6,31.325000000000003,26.5,72.785,30.11,23.7,42.525000000000006,19.775,102.91,121.5,110.555,113.95,96.9,55.56,75.465,,50.05,,,67.5,95.6,,90.9,150.45,,,,,,,,,,,,,,44.55,21.5,,,,78.3,,,74.1,61.349999999999994,84.125,65.94999999999999,,54.355000000000004,,46.325,51.25,49.75,,46.35,54.2,21.0,,,,32.15,31.8,,,,,,,60.3,,14.71,,150.0,,102.0,,64.0,,,,31.8,,,,25.75,,,,51.0,,,,,,17.0,,,,15.05,,13.1,,,,,,,121.37,,,,14.71,65.0,,30.7,5.0,
2015,,,,,,,,,,,,,,,,137.2,,97.3,,,,,,,10.0,,,22.5,,,70.0,,,,,,20.4,,,,,,,30.1,,,,,,,,,,,87.95,,,,100.5,10.5,10.5,60.0,61.3,,124.5,23.45,22.0,,,,8.0,8.0,,,48.900000000000006,,88.0,95.275,76.5,143.5,,47.5,32.31,10.5,,,,,,,,,63.4,,125.15,94.25,,,113.65,57.0,,38.75,,,,,,,50.0,96.0,41.0,32.0,53.06,31.244999999999997,63.0,113.07,84.0,113.07,130.1,,,61.425,30.1,69.0,19.6,,,170.7,,81.3,,58.1,,,14.66,70.5,,,,,122.44999999999999,95.3,89.7625,62.05,49.5,53.55,,65.0,78.25,,27.15,,65.25,34.599999999999994,30.200000000000003,68.535,20.96,28.25,35.150000000000006,16.85,93.25,199.0,118.92,97.06750000000001,102.3,51.78,63.45,,54.9,,,94.15,96.85,,61.2,11.5,,,,,,40.0,56.75,,23.0,,,,,32.615,42.0,,,33.5,63.0,,,95.85,66.8,87.06,72.0,18.875,64.1,,33.6,48.5,35.0,31.55,47.275,47.425,,,,74.25,37.400000000000006,41.27,,,,,,,41.1,,15.175,,79.7,43.6,124.75,67.375,,,48.3,,50.15,,,103.0,26.0,152.6,86.4575,27.8,27.8,,23.6,67.4,,,,22.8,22.9,162.9,16.05,,14.1,,,59.4,91.5,,,123.73,,,84.64999999999999,11.07,59.8,25.4,30.5,20.7,
2020,,,,,,,,,,,,,,,,115.4,,,35.0,,,,,23.5,12.0,,,25.0,,,,,,,,,31.5,,,,,,,,,,,,58.0,60.0,,3.0,,,76.9,73.45,93.6,,70.0,16.0,24.65,62.5,99.45,,50.0,55.85,19.0,,,17.0,17.0,,,,54.3,,93.5,,90.675,,,13.0,27.465,,,,,,,,,,51.5,89.0,,94.45,,,100.19999999999999,8.5,57.0,60.0,,7.0,,,,,,57.0,37.875,35.7,52.974999999999994,,78.5,115.39500000000001,89.8,115.39500000000001,128.7,,80.0,59.3,25.5,85.0,11.0,,,88.4,,,,,,,,80.0,79.5,,,,124.8,96.6,66.0,78.1,,78.75,,95.8,80.9,67.55,24.8,29.549999999999997,58.9,37.7,27.1,68.57499999999999,26.4675,17.85,41.2,16.200000000000003,94.09,71.625,,96.2775,98.4,40.95,39.25,,55.8,,,57.7,98.6,,51.3,,,,,,,60.0,99.25,,,,,,92.5,34.175,20.0,,,69.0,81.0,,,112.55000000000001,90.58,108.86,67.1,,10.0,18.65,43.15,64.0,47.0,34.75,31.4,30.025,,,,47.9,35.3375,35.5,,,,,,,67.6,,14.895,,29.35,44.3,128.1,127.5,67.5,,61.0,123.0,35.775,20.0,,,32.2,62.0,,60.8,,,39.0,47.0,35.9,45.7,40.099999999999994,30.450000000000003,23.3,162.9,27.575000000000003,,24.799999999999997,,36.9,,,,,126.2,,,103.35,10.13,64.45,,30.7,20.0,
